claim_id,target
ID_4RO0KZI9BBW2,13569.846499999994
ID_GTE9ZUJ9GZ97,12344.643499999995
ID_RUVIYRKWZ4RG,4656.5884000000015
ID_J81X8SWU6JYN,3711.3238
ID_94NM3JJAWWOQ,6311.4879999999985
ID_TKCNGKSO1CMY,1879.4690999999993
ID_T1HVS684BH5I,4577.109299999999
ID_T8UW9ST7U75S,6665.2553000000025
ID_MPCPOYBXBDQ9,1067.7145
ID_PTR3D1Y4HKCO,3095.486600000001
ID_BC4UJTA1DJB7,1791.6870999999994
ID_03JOAPPUJI6H,1547.2863999999995
ID_6DA9F02OTHSO,9032.596999999998
ID_JY758RRZZVA5,14606.957999999986
ID_9FQJ4MQEN5H8,14943.230699999998
ID_KINUO4FIN53W,11978.239600000003
ID_0TWXLFK8X4EK,3264.268000000003
ID_I6OMG6AI9ILY,15504.3774
ID_RVMFMHHRW1NO,9768.052600000005
ID_UCZH0BOUHPLA,11421.6478
ID_8AFFKZSAYZZ7,5822.7202
ID_90JC4ZNT0OJ4,2525.3764
ID_KCGFWWUG3GRU,1618.2960000000003
ID_GT5MHBR2CCZB,10194.1402
ID_Y73Z17TBVJH2,12153.174399999996
ID_9OPVG2YWFOHJ,7822.518
ID_TAR4XMXNQ78T,1781.0740000000008
ID_BOH67OUBV0XA,11118.606299999996
ID_XE0ZOYIEJT1L,4419.384799999998
ID_A26VR0IPQPYK,7365.7733
ID_5HK9WNZ8B2LB,693.7064000000001
ID_Y3ISOSIA9SXQ,7718.0441
ID_UR21G3FGN1W1,619.7062
ID_UMY0EF1B711C,9857.149599999997
ID_RAI79W35GVL0,2554.2596999999996
ID_R1XVA2NP0C2B,3098.6928000000003
ID_GWH8NNO4VWA8,4894.132800000001
ID_L9DV4R1IIWAN,703.7004999999999
ID_LDS7X8U77NHH,8912.8525
ID_KVA90UYWBFBQ,7643.038600000001
ID_97O5TWK60K3I,660.6244
ID_UZB1OAVL2SIL,2880.5778000000005
ID_YTBRQ8M5FHUU,1106.2830999999999
ID_HOY2QIKDDW1G,1162.7419000000002
ID_KAFOD2UM81CF,8213.259499999998
ID_KXGO2CVPRRHM,529.2578999999998
ID_CITCPNZS8NGE,4717.2775999999985
ID_2VML60NPZD9I,7887.7161
ID_IBBBVJTXD09L,4393.7014000000045
ID_KDE9033V0GH6,2289.8351000000002
ID_CHAV6L6ZSA9J,2487.7466999999992
ID_RRMTZ0MLZIJQ,2629.2114999999994
ID_ZXW6VOJI17P0,2731.5812000000005
ID_AVX2HTUEJE88,2070.4122
ID_XALN4Y87TVFA,744.3631999999999
ID_7Q9XBGSX61H0,7061.097299999998
ID_DNRLZ1XI4SB8,6069.1939
ID_OL9E87L56NNA,3779.843199999999
ID_A5W8LFFIV6JL,1850.0551999999998
ID_UKZ47XRMJLOK,2215.0802
ID_OR285DODEJ6V,5178.6304
ID_ITOLUWCQIRXT,10179.668999999996
ID_8DVQJCG9I1J5,1432.2415000000003
ID_HR5G1CJHPKS7,2650.5149
ID_IGKYRHBR9LA8,8124.113099999999
ID_U49D9T6ZI6D2,3180.0905999999995
ID_8WZD8J2M5VM4,2337.4621
ID_L11PTPIBEOUY,9458.2984
ID_AB6US7JBUFGA,494.36519999999996
ID_99BLGEXMLCM0,3704.127200000001
